Action Label,Stage 1,Stage 2,Stage 3
crossing legs,"Legs are initially parallel or slightly apart, with feet typically on the ground; one leg prepares to lift or shift inward, and overall speed is low.","One leg, driven by the hip and knee, quickly lifts and sweeps inward and upward, crossing over the other leg; speed peaks during this distinct lateral and vertical movement.","The active leg decelerates as it settles onto the other leg, forming a stable crossed posture, with the feet potentially off the ground or resting against each other."
stretching feet,"Feet are positioned flat on the ground or relaxed, preparing for forward extension.","Feet swiftly extend forward, causing heels to lift off the ground with moderate amplitude.","Movement decelerates as feet retract, returning to a stable, flat position on the ground."
retracting feet,"Feet are initially placed slightly forward on the floor, at a low overall speed, preparing to move backward.","The feet are swiftly pulled backward towards the body, led by the lower legs, with a moderate and controlled movement.","The action decelerates as the feet settle into a new, more retracted and stable position closer to the body."
tiptoe,"The feet are positioned flat on the floor, stationary and at a low overall speed, ready to initiate upward movement.","In a very short time, driven by the ankles, the feet move upwards, lifting the heels off the floor to rest on the balls of the feet and toes, reaching a moderate amplitude.","The movement decelerates as the heels return to the floor, restoring the feet to their initial flat and stable position."
scratching or touching neck,"The dominant hand is at rest, often near the lap, with low initial speed, preparing to move towards the neck.","Driven by the arm, the hand moves swiftly upwards towards the neck, making a light touch or brief scratching motion on the neck, reaching a speed peak upon approach.","The action decelerates, and the hand either lingers on the neck or returns to a relaxed position, typically near the lap or side."
scratching or touching chest,"Hand(s) move with low speed from a relaxed position, beginning to approach or adjust on the torso.","The arm(s) lead the hand(s) to move towards or across the torso, making brief contact or a gentle adjusting movement with small to moderate amplitude.","The movement decelerates, and the hand(s) either settle on the torso or return to a relaxed, stable position."
scratching or touching back,"A bent arm positions the hand near the torso or on the leg, preparing to move towards the back.","The arm extends and sweeps, moving the hand backward and upward to lightly touch the back of the torso with moderate speed.","The hand either pauses briefly on the back or moves away, returning to a relaxed position near the torso."
scratching or touching shoulder,"One hand is positioned near the side of the body or lap, then slowly prepares to move towards the opposite shoulder.","The arm bends at the elbow, swiftly bringing the hand to make light contact with the opposite shoulder. The movement involves a moderate range of motion.","The hand slows its movement, maintaining contact by touching or lightly rubbing the shoulder, or remaining stationary on the shoulder."
arms akimbo,"Arms are initially relaxed by the sides of the torso, with hands positioned near the thighs, preparing to move.","The arms swiftly bend at the elbows, and hands are brought inwards towards the hips, while elbows move outwards, displaying moderate speed.","The hands come to a stable rest on the hips, with the elbows pointing distinctly outwards, maintaining a steady akimbo posture."
crossing arms,"Arms begin to move horizontally inward from the sides of the torso, preparing to cross.","Arms swiftly move across the chest, one passing over the other, reaching peak speed.","Arms decelerate and come to rest in a stable crossed position across the torso, with hands often grasping opposite upper arms."
playing or tidying hair,"The hand is positioned near the lap or side, moving slowly towards the head.","The arm quickly extends, bringing the hand to lightly touch and adjust the hair on the head with a moderate range of motion.","The hand decelerates and retracts from the head, returning to a stable resting position near the lap or side."
scratching or touching hindbrain,"The hand is at a resting position, moving at a low speed, preparing to approach the hindbrain area of the head.","The arm rapidly moves upwards, driven by the elbow and shoulder, and the fingers make brief contact or scratch the hindbrain area with moderate amplitude.","The hand decelerates and either remains in gentle contact with the hindbrain or returns to a lower, stable position."
scratching or touching forehead,"The hand is positioned near the side of the head or upper body, with low overall speed, preparing to move towards the forehead.","Driven by the arm, the hand quickly moves upward to lightly touch or scratch the forehead, exhibiting a speed peak with moderate amplitude.","The arm decelerates, and the hand moves back down to a resting position, restoring to near its initial relative position."
scratching or touching face,"The hand is in a relaxed position near the lap or torso, with low initial speed, preparing to move towards the face.","Driven by the arm, the hand moves quickly upwards towards the face, making brief contact (touching or lightly scratching) with a moderate amplitude.","The hand decelerates and either returns to a stable, relaxed position or briefly rests on the face."
rubbing eyes,"The hand is positioned near the torso or slightly elevated, slowly preparing to approach the eye area.","The arm quickly brings the hand to the eye, where fingers or palm perform a short-amplitude rubbing motion with moderate speed.","The hand decelerates, moves away from the eye, and returns to a resting position near the torso or remains close to the face."
touching nose,"The hand is positioned near the torso or slightly raised, moving slowly to approach the nose.","The arm rapidly lifts the hand, driven by the elbow and shoulder, to briefly and lightly touch the nose with a moderate range of motion.",The hand decelerates and either returns to a stable position near the body or remains momentarily on the nose.
touching ears,"The hand is in a relaxed position, moving at a low speed, preparing to approach the ear.","Driven by the arm, the hand swiftly moves to touch the ear, with fingers making gentle contact, demonstrating moderate amplitude.","The action decelerates, and the hand either returns to a stable, relaxed position or briefly remains touching the ear."
covering face,"Hands are initially low, then arms initiate an upward movement with low speed towards the face.","The arms swiftly bring hands up, rapidly moving towards and making contact with the face to cover it, often involving both hands.",Hands either remain covering the face or decelerate and slowly return to their initial resting position.
covering mouth,"The hand is positioned low, near the lap, with low initial speed, preparing to move towards the mouth.","The arm quickly brings the hand upwards, contacting or closely covering the mouth with significant upward movement.","The hand decelerates and remains held covering the mouth, or gently returns to a stable resting position near the lap."
pushing glasses,"The hand is positioned near the body, moving at a low speed, beginning to approach the head towards the glasses.","Driven by the arm, the hand moves quickly upwards to make brief, light contact with the glasses, performing a small pushing motion.","The hand decelerates, moving away from the head and returning to a stable, resting position near its initial location."
patting legs,"Hands are positioned above or resting on the legs, with low initial speed, preparing for a downward motion.","Driven by the arms, hands quickly move downwards, briefly touching the legs, then immediately reversing direction with moderate amplitude.","Hands decelerate as they lift off the legs, returning to a position above the legs, either resting or preparing for the next pat."
touching legs,"Hands are initially positioned low, with low overall speed, preparing to approach the legs.","Hands, driven by the arms, move upward and forward to contact the legs with moderate amplitude.","The action decelerates as hands settle and rest on the legs, maintaining a stable position."
scratching legs,"The hand is resting on a leg or lap, moving slowly as it prepares to approach the target leg.","The arm quickly moves, driven by the elbow, and the fingers make distinct scratching contact with the leg, exhibiting moderate amplitude.","The arm decelerates and retracts, returning the hand to a resting position on a leg or lap, restoring a stable posture."
scratching feet,"The hand is positioned near the crossed foot, maintaining low speed, and prepares to make contact.","Led by the fingers, the hand rapidly initiates small, localized scratching movements directly on the surface of the foot.",The hand decelerates the scratching action and either lightly rests on the foot or returns to a stable resting position.
