Action Label,Global,Head,Arms,Hands,Torso,Legs,Feet
scratching arms,"The hand or fingers move along the arm in a scratching motion, typically from the elbow to the wrist, while seated.","The head remains centered, or is slightly toward the hand.",One arm brings the other within reach.,Fingers track along the forearm surface.,Small lean toward the working side.,Same-side knee moves inward slightly.,Same-side foot turns a bit inward.
playing objects,"The hands perform fine-grained finger and wrist movements, with the arms remaining mostly still, while seated.",The head tilts downward toward the lap area.,Forearms hover near the torso.,"The hands perform alternating small grasp-like motions near the lap, with subtle finger flexion and extension.",Torso makes a short incline toward the hands.,Knees remain steady during the lean.,Feet remain planted and stationary beneath the knees.
putting hands together,"The hands come together near the body midline at chest or lap level, with minimal arm movement.",Head remains neutral and centered.,Both forearms converge to the body midline.,"Hands placed together as units with broad surface contact palm-to-palm or palm-to-back; fingers may align/interlace, no distinct single-finger poking/micro-action driving the contact.",Centered on the midline.,Knees remain parallel.,Feet remain planted and stationary.
rubbing hands,"The palms rub against each other in a circular or linear motion, with wrist movement involved, while seated.",Head remains neutral and centered.,Elbows lift slightly away from the ribs.,Palms glide against each other in repeated strokes.,Torso inclines slightly accompanies the motion.,Knees keep parallel tracking.,Feet remain stationary.
pointing oneself,"The arm extends, and the hand points toward the chest or torso, with minimal torso movement, while seated.",The head is slightly turned toward the position of the hand.,Pointing-side elbow flexes; forearm aligns.,Index extends; fingertip indicates or taps.,Minor lean/turn toward target.,"If lower target, target knee angles.","If lower target, target foot pivots; else grounded."
clenching fist,"The fingers curl to form a fist, with minimal movement from the arms, while seated.",The head remains neutral.,Forearm stiffens slightly.,"Fingers curl into the palm, thumb closes over.",Subtle bracing through the trunk.,Knees firm up without shifting.,Feet remain stationary.
stretching arms,"One arm moves from the lap to extend fully or slightly bent in front or to the side of the body, with minimal wrist movement, while seated.","The head remains neutral, with no significant movement.","One arm extends fully or slightly bent, moving from the lap to the front or side of the body.","The hand extends in front or to the side, with minimal movement of the fingers.","The torso remains upright, with no significant movement.","The legs stay still, with no noticeable movement.","The feet remain planted and stationary, with no movement."
retracting arms,"The arms move back toward the body from an extended position, with the elbows bending and minimal wrist movement, while seated.",Head remains neutral and centered.,Forearms draw back toward the ribcage; elbows stay close to the torso.,Draw closer to the torso or lap.,Torso remains upright and stable with minimal movement.,Knees resist sliding.,Feet remain planted and still with minimal ankle motion.
waving,"One hand rises from the lap to chest level and performs a back-and-forth motion, typically with faster speed, while seated.",The head remains neutral with minimal movement.,One arm rises from the lap and performs a back-and-forth motion at chest level.,"The hand moves rapidly from the lap to chest level, performing a waving motion.",The torso stays mostly upright with minimal involvement in the movement.,"The legs remain still, with no significant movement.","The feet remain planted, with minimal movement during the waving."
spreading hands,"The hands move apart, spreading the fingers widely, with minimal arm movement, while seated.",The head shows a subtle sway.,Elbows open slightly from the ribs.,Fingers splay apart with palms visible.,Mild lift through the chest.,Knees unchanged.,Feet remain stationary under the knees.
hands touching fingers,"The hands come together, and the fingers touch, often at the tips, with controlled movement of the fingers and minimal arm motion, while seated.",The head remains neutral.,Pointing-side elbow bends toward the midline.,One hand fingers actively tap/slide on the other hand (palm/back/knuckles/thenar); palms may touch but not as the primary broad contact.,Slight lean toward the midline is acceptable.,Knees keep seated spacing.,Feet remain stationary under the knees.
other finger movements,"One hand, usually resting on the lap or occasionally raised, shows noticeable finger movements such as flexion or tapping, with no significant arm or body movement, while seated.","The head remains neutral, with no significant movement.","The arms remain still, with minimal or no involvement in the hand's movement.","One hand performs finger movements such as tapping or flexing, with no arm movement.","The torso stays still, with no significant movement.","The legs remain still, with no noticeable movement.",Feet remain planted and still under the knees.
illustrative gestures,"One arm moves from the lap to chest level, with the hand open and the arm performing small back-and-forth motions, while seated.",The head remains neutral or slightly engaged with the hand movement.,"One arm moves from the lap to chest level, performing small back-and-forth motions.","The hand is open, performing small motions to illustrate the gesture.",The torso may slightly lean or shift with the arm movement.,"The legs stay still, with minimal movement.",Feet remain planted and still under the knees.
shaking legs,"The legs move in a rhythmic, back-and-forth motion, primarily at the knees and ankles, while seated, with the feet remaining flat.",The head remains neutral with no significant movement.,"The arms remain still, with no noticeable movement.","The hands stay in a resting position, with no significant involvement in the motion.","The torso remains upright, with minimal movement during the shaking.","The legs move rhythmically up and down, primarily at the knees and ankles, with no significant torso movement.",Feet stay in a fixed area with small motion following the leg shake.
curling legs,"One leg is crossed over the other, with the ankle resting on the thigh, while seated, with minimal movement from the feet and knees.","Head remains neutral and centered, with minimal movement.",Elbows tuck as body compacts.,Draw closer to the knees.,Torso inclines slightly with the leg curl.,One leg remains stable; the other flexes at the knee/hip and crosses over it.,The supporting foot stays steady; the other foot lifts and positions above the opposite shin/ankle.
spread legs,"The legs move outward, spreading apart from the hips and knees, with minimal foot movement, while seated.",Head remains neutral and centered.,Elbows loosen slightly outward.,Shift to inner thighs or stay on lap.,Settles while pelvis opens.,Knees move outward from the midline.,Feet separate with heels still grounded.
closing legs,"The legs move inward toward each other, with minimal foot movement, while seated.",Head remains neutral and centered.,Rest close to the torso.,Lightly touch the outer knees.,Centers over the midline.,Knees move toward the midline together.,The ankles shift medially as the feet converge toward the center.
crossing legs,"One leg crosses over the other at the ankles, with the feet positioned behind the opposite ankle, forming an ""X"" shape, while seated.",Aligns with the side chosen for the cross.,Forearms adjust to clear space.,Assist briefly or rest on upper knee.,Torso shifts slightly.,One knee crosses over the other or at the ankles.,Top foot hangs relaxed; bottom foot anchors.
stretching feet,"Feet extend outward from the ankles with small, controlled motion; knees remain mostly still.",Head remains upright and centered.,Hands slide slightly back on thighs.,Relax while ankles extend.,Straightens as lower legs reach.,Knees extend slightly; legs lengthen subtly.,Toes point; heels push outward.
retracting feet,"The feet draw inward toward the video center, with minimal movement from the knees and legs, while seated.",Maintains front orientation.,No swing beyond natural.,Stay near lap while feet draw back.,Torso inclines slightly during the motion.,The legs retract inward toward the body midline.,"Feet draw inward toward the video center, reducing inter-ankle distance."
tiptoe,Toes lift slightly while heels stay lower; the rest of the body remains mostly still.,The head remains neutral with no noticeable movement.,"The arms stay relaxed and still, with no significant movement.","The hands remain in a resting position, with minimal or no involvement.","The torso remains upright and stationary, with no movement.","The legs remain still, with only the feet slightly rising onto the toes.","Toes lift slightly while heels stay down, with minimal leg movement."
scratching or touching neck,"The hand moves to touch or scratch the neck, with a moderate motion of the fingers or hand, while seated.",Tilts to expose front or side of neck.,Upper arm lifts toward the neck line.,Fingertips contact the neck region.,Minor lean toward the working side.,Same-side knee turns inward slightly.,Same-side foot pivots a little.
scratching or touching chest,"The hand moves to touch or scratch the chest, with controlled movement of the fingers and minimal arm motion, while seated.",The head remains neutral.,Elbow bends to bring hand to mid-chest.,Fingertips tap or rub the sternum area.,Slight forward bend to meet the reach.,Knees hold position.,Feet remain stationary under the knees.
scratching or touching back,"The hand reaches behind the body to touch or scratch the back, with minimal torso movement, while seated.","Head dips slightly during the reach, then returns to neutral.",One elbow sweeps behind the torso.,Palm reaches the upper back near the spine.,Rotates a bit toward the reaching arm.,Legs remain mostly still; knees may shift slightly while the hand reaches the back.,Feet remain stationary.
scratching or touching shoulder,"The hand moves to touch or scratch the shoulder, with minimal arm movement and focus on the shoulder area, while seated.",Tilts toward the contacted shoulder.,Opposite elbow crosses the midline.,Fingertips land on the shoulder cap.,Torso shifts slightly toward the contact side.,Knees steady without crossing.,Contact unchanged.
arms akimbo,"The arms are bent at the elbows and placed on the hips, with elbows pointing outward, while seated.",Head remains neutral and centered.,"Upper arms flare outward from the shoulders, elbows pointing laterally.",Palms plant on the left/right hip keypoints; thumbs hook rearward along the waist line; fingers point forward or slightly downward.,Chest opens with a small lateral expansion toward both shoulders.,Knees remain apart at a comfortable width.,"Feet remain planted and still under the knees, with minimal ankle motion."
crossing arms,"The arms cross over the chest, with elbows bent and hands resting on the opposite upper arms, while seated.",Remains aligned over the midline.,Forearms fold across the chest.,Each hand tucks to opposite upper arm.,Centered and upright.,Knees stay parallel and steady.,Feet remain stationary.
playing or tidying hair,"The fingers or hands run through the hair to adjust or style it, with noticeable wrist and arm movement, while seated.",Tilts toward the hand near the head top or side.,Elbow lifts comfortably beside the head.,Fingers comb or gather hair along the head.,Torso stays centered and upright with minimal movement.,Knees unchanged.,Feet remain planted and still with minimal ankle motion.
scratching or touching hindbrain,"The hand reaches behind the head to touch or scratch the hindbrain area, with moderate arm movement, while seated.",Inclines forward to open the back of head.,Elbow moves behind the ear line.,Fingertips contact the occipital area.,Torso inclines slightly during the reach.,Knees resist sliding.,Heels press down.
scratching or touching forehead,"The hand or fingers move to touch or scratch the forehead, with minimal movement of the arm, while seated.",Tilts back a little to meet the hand.,Elbow lifts upward near the face; forearm moves to the forehead area.,Fingertips touch the center of the forehead.,Torso stays centered with minimal movement.,Knees hold position.,Feet remain stationary.
scratching or touching face,"The hand or fingers move across the face, touching or scratching the cheek, chin, or jaw, while seated.",Turns toward the contacting hand.,Upper arm lifts along the side of the head.,Fingertips sweep cheek or jaw region.,Small tilt toward the hand.,Minor counterbalance at the knees.,Feet remain stationary.
rubbing eyes,"The hand or fingers rub the upper-face area in a circular motion, with moderate wrist movement, while seated.",Dips toward the working hand.,Forearm raises toward the face.,Fingers rub around the upper-face area in small circular motions.,Slight flex toward midline.,Knees steady.,Contact unchanged.
touching nose,"The fingers move to touch the nose, with minimal hand movement, while seated.","Head tilts slightly downward toward the hand, then returns to neutral.",Elbow lifts upward toward chest level.,Index fingertip taps the nose tip or bridge.,Torso inclines slightly during the touch.,Knees hold their line.,Feet remain stationary under the knees.
touching ears,"The hand or fingers move to touch the ears, typically at the sides of the head, with minimal arm movement, while seated.",Tilts toward the contacted ear.,Elbow raises to the side of the head.,Fingertips pinch or rest on the ear rim.,Gentle lean to the same side.,Opposite knee shifts slightly outward.,Feet remain stationary.
covering face,"Both hands cover the face area (mouth, nose, and upper face) briefly, with minimal arm movement.",Head remains neutral and centered.,Both elbows lift near the chest.,Palms cover the face from brow to chin.,Torso makes a brief small hunch toward the midline.,Knees brace without crossing.,Firm contact under both heels.
covering mouth,"The hand or fingers cover the mouth, with the palm pressed gently against the lower face, while seated.",Inclines toward the covering hand.,Forearm lifts along the midline.,Palm covers the mouth region.,Subtle downward bend accompanies the cover.,Knees remain aligned.,Feet remain stationary.
pushing glasses,"The finger or hand to move upward along the bridge of the nose, with controlled, minimal arm movement, while seated.",Head remains centered and still.,Elbow lifts minimally at midline.,Index pushes upward at the nose bridge.,Torso remains centered and stable during the hand-to-face adjustment.,Knees steady.,Feet remain stationary.
patting legs,"One or both hands move from another position and rest on the knees, gently patting the legs once or briefly, with minimal wrist and arm movement, while seated.",The head remains neutral with no significant movement.,"The arms move to rest on the knees, with minimal bending at the elbows.","One or both hands gently pat the knees, with minimal wrist or finger movement.",The torso stays upright and still with minimal movement.,"The legs remain stationary, with the knees slightly bent as the hands rest on the knees.","The feet are flat, with minimal movement during the patting."
touching legs,"The hands remain on the knees or thighs, moving with a rubbing or massaging motion, primarily driven by wrist movement, with occasional arm involvement, while seated.",The head stays neutral with minimal movement.,"The arms remain relaxed, with slight involvement as the hands move along the legs.",The hands rub or gently massage the knees or thighs with controlled wrist and slight arm movement,"Torso may incline slightly or remain upright, with minimal movement.","The legs remain mostly still, with the hands moving along the thighs or knees.","The feet remain flat, with minimal movement during the rubbing or touching."
scratching legs,"The hand or fingers move in a scratching motion along the legs, usually on the thighs or calves, while seated.",Tilts toward the scratched area.,Elbow brings the hand to thigh or shin.,Fingertips rake along the target line.,Lean follows the working arm.,Target leg turns slightly outward.,Target foot pivots at the ankle.
scratching feet,"The hand or fingers move to scratch the feet, typically on the toes or arches, with minimal leg movement, while seated.","Head down, facing toward the feet.",Elbow reaches down past the knee line.,Fingers scratch the instep or heel area.,Torso inclines downward to allow the hand to reach the foot area.,Target knee rotates inward to expose the foot.,Target foot lifts at the heel for access.
